Kind,Item,AvgScore
Challenge,«Теневые» решения и фрагментация инструментов,3.02
Challenge,Долгие согласования доступа к данным,3.42
Challenge,Недостаточная поддержка со стороны руководства,2.98
Challenge,Нехватка бюджета/ресурсов на Data Governance,3.16
Challenge,"Низкое качество данных (дубликаты, пропуски, рассинхрон)",3.02
Challenge,Отсутствие метрик и KPI по управлению данными,2.96
Challenge,Отсутствие ответственности/владельцев данных,2.94
Challenge,Разрозненность источников и «силосы»,3.56
Challenge,Сопротивление изменениям/культурные барьеры,2.96
Practice,Ведётся каталог данных (актуальные метаданные),3.6
Practice,Классификация данных и политика хранения/ретенции,3.02
Practice,"Контроль доступа (RBAC/ABAC), принцип наименьших привилегий",3.48
Practice,Назначены Data Stewards и понятны их обязанности,3.04
Practice,Определены владельцы данных/доменов (RACI),3.22
Practice,Отслеживается lineage ключевых наборов данных,2.94
Practice,Политики и стандарты по данным документированы и действуют,3.22
Practice,"Процедуры качества данных (SLA/метрики, мониторинг)",3.14
Practice,Процессы соответствия требованиям (GDPR/152-ФЗ/ISO),3.2
