Отметка времени,Ваша роль,Укажите степень используемых практик [Политики и стандарты по данным документированы и действуют],Укажите степень используемых практик [Определены владельцы данных/доменов (RACI)],Укажите степень используемых практик [Назначены Data Stewards и понятны их обязанности],Укажите степень используемых практик [Ведётся каталог данных (актуальные метаданные)],Укажите степень используемых практик [Отслеживается lineage ключевых наборов данных],"Укажите степень используемых практик [Контроль доступа (RBAC/ABAC), принцип наименьших привилегий]","Укажите степень используемых практик [Процедуры качества данных (SLA/метрики, мониторинг)]",Укажите степень используемых практик [Классификация данных и политика хранения/ретенции],Укажите степень используемых практик [Процессы соответствия требованиям (GDPR/152-ФЗ/ISO)],Укажите степень сложностей с которыми сталкивались [Отсутствие ответственности/владельцев данных],Укажите степень сложностей с которыми сталкивались [Разрозненность источников и «силосы»],"Укажите степень сложностей с которыми сталкивались [Низкое качество данных (дубликаты, пропуски, рассинхрон)]",Укажите степень сложностей с которыми сталкивались [«Теневые» решения и фрагментация инструментов],Укажите степень сложностей с которыми сталкивались [Сопротивление изменениям/культурные барьеры],Укажите степень сложностей с которыми сталкивались [Нехватка бюджета/ресурсов на Data Governance],Укажите степень сложностей с которыми сталкивались [Долгие согласования доступа к данным],Укажите степень сложностей с которыми сталкивались [Отсутствие метрик и KPI по управлению данными],Укажите степень сложностей с которыми сталкивались [Недостаточная поддержка со стороны руководства],Какая одна практика дала наибольший эффект и почему?,Что больше всего мешает развитию Data Governance в вашей организации?
24.10.2025 11:30:28,Compliance/Legal,5 — внедрено и эффективно,3,3,4,2,4,3,2,4,4,3,3,4,3,3,2,4,3,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сопротивление изменениям: «и так работает».
22.10.2025 17:18:01,Product,3,2,4,4,3,5 — внедрено и эффективно,3,2,3,1 — не проблема,4,3,2,4,2,4,1 — не проблема,2,Документирование стандартов именования — меньше разнобоя в витринах.,"Нет централизованных метрик по качеству, решаем ситуативно."
26.10.2025 14:21:46,Data Engineer,2,4,5 — внедрено и эффективно,3,4,3,4,3,2,1 — не проблема,4,5 — критично,3,3,5 — критично,4,3,3,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Сложные согласования доступа между подразделениями.
22.10.2025 13:34:23,Product,3,3,2,4,3,5 — внедрено и эффективно,3,2,3,5 — критично,3,3,2,2,3,2,4,3,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Разрозненность источников и дублирование пайплайнов.
23.10.2025 19:46:53,Compliance/Legal,3,4,4,3,3,4,3,2,4,4,4,3,3,3,3,5 — критично,4,4,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Сопротивление изменениям: «и так работает».
25.10.2025 22:31:30,Compliance/Legal,4,4,3,3,2,4,5 — внедрено и эффективно,4,3,3,3,4,3,2,4,3,4,3,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Сложные согласования доступа между подразделениями.
25.10.2025 15:38:06,Compliance/Legal,5 — внедрено и эффективно,3,3,4,4,4,2,3,3,3,3,5 — критично,3,2,4,4,3,4,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Сложные согласования доступа между подразделениями.
26.10.2025 01:12:42,Data Engineer,4,4,4,4,2,3,3,3,2,1 — не проблема,3,2,1 — не проблема,3,2,4,3,2,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Сложные согласования доступа между подразделениями.
23.10.2025 14:27:24,Data Analyst,2,3,3,3,3,2,3,2,3,4,4,5 — критично,2,4,4,4,2,3,Документирование стандартов именования — меньше разнобоя в витринах.,Разрозненность источников и дублирование пайплайнов.
25.10.2025 13:41:51,Product,5 — внедрено и эффективно,2,3,4,2,4,2,3,3,3,3,4,2,3,4,4,2,3,Каталог данных — сократил время на поиск источников и повысил прозрачность.,Недостаток времени у команд на stewardship и документацию.
22.10.2025 01:32:38,Другое,3,4,3,5 — внедрено и эффективно,3,2,2,4,3,4,4,3,4,2,1 — не проблема,5 — критично,1 — не проблема,3,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Недостаток времени у команд на stewardship и документацию.
25.10.2025 20:24:45,Compliance/Legal,4,3,2,4,2,2,3,4,3,4,3,3,2,3,4,3,4,2,"Введение RACI: стало ясно, кто владелец набора данных и кто принимает решения.","Нет централизованных метрик по качеству, решаем ситуативно."
26.10.2025 08:52:20,Product,3,3,3,4,3,5 — внедрено и эффективно,3,3,2,3,4,3,3,4,3,3,4,3,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Разрозненность источников и дублирование пайплайнов.
20.10.2025 18:09:22,Data Analyst,4,4,4,3,3,4,3,2,4,3,4,2,4,3,3,2,3,3,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,"Нет централизованных метрик по качеству, решаем ситуативно."
22.10.2025 14:44:52,Руководитель,3,4,3,4,3,3,3,4,4,4,2,4,4,3,3,4,3,3,SLA и мониторинг качества — быстрее ловим регрессии и инциденты.,Недостаток времени у команд на stewardship и документацию.
21.10.2025 19:40:52,Другое,3,4,3,3,4,4,3,3,1 — не внедрено,4,3,1 — не проблема,2,3,4,3,4,2,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Сопротивление изменениям: «и так работает».
23.10.2025 15:11:41,BI-аналитик,2,4,3,3,4,3,3,4,5 — внедрено и эффективно,3,5 — критично,3,3,3,2,4,4,3,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Сложные согласования доступа между подразделениями.
25.10.2025 15:18:15,Compliance/Legal,3,4,2,2,2,3,4,3,2,3,5 — критично,3,2,3,4,4,2,2,RBAC и шаблоны доступов — безопаснее и быстрее онбординг.,Недостаток времени у команд на stewardship и документацию.
