ticket_id,customer_id,agent_id,category,created_at,first_response_at,resolved_at,satisfaction_score,is_repeat
T100000,C001,A01,ORDER,2024-01-11 14:48:00,2024-01-11 16:44:00,2024-01-13 00:06:00,3.0,False
T100001,C002,A02,ORDER,2024-04-02 03:40:00,2024-04-02 05:27:00,2024-04-03 08:20:00,4.0,False
T100002,C003,A03,ORDER,2024-03-19 01:45:00,2024-03-19 03:08:00,2024-03-19 16:42:00,3.6,False
T100003,C004,A04,ORDER,2024-02-22 16:07:00,2024-02-22 17:23:00,2024-02-23 20:19:00,4.8,False
T100004,C005,A05,ORDER,2024-02-21 04:16:00,2024-02-21 04:47:00,2024-02-23 08:20:00,4.4,False
T100005,C006,A06,ORDER,2024-04-13 11:27:00,2024-04-13 12:36:00,2024-04-16 02:10:00,3.8,False
T100006,C007,A07,ORDER,2024-01-11 02:25:00,2024-01-11 03:55:00,2024-01-11 10:16:00,4.5,False
T100007,C008,A08,ORDER,2024-03-24 17:53:00,2024-03-24 18:59:00,2024-03-25 07:27:00,3.7,False
T100008,C009,A01,ORDER,2024-01-25 18:21:00,2024-01-25 18:56:00,2024-01-27 07:07:00,4.0,False
T100009,C010,A02,ORDER,2024-01-12 13:47:00,2024-01-12 14:35:00,2024-01-14 16:31:00,4.8,False
T100010,C011,A03,ORDER,2024-03-04 20:03:00,2024-03-04 21:44:00,2024-03-05 08:42:00,3.4,False
T100011,C012,A04,ORDER,2024-04-27 10:28:00,2024-04-27 11:00:00,2024-04-28 10:11:00,3.6,False
T100012,C013,A05,ORDER,2024-03-29 04:28:00,2024-03-29 06:23:00,2024-03-29 08:17:00,4.8,False
T100013,C014,A06,ORDER,2024-04-01 03:37:00,2024-04-01 05:08:00,2024-04-01 07:52:00,3.9,False
T100014,C015,A07,ORDER,2024-03-27 05:15:00,2024-03-27 07:02:00,2024-03-27 15:59:00,3.6,False
T100015,C016,A08,ORDER,2024-04-04 04:48:00,2024-04-04 05:50:00,2024-04-06 09:26:00,3.1,False
T100016,C017,A01,ORDER,2024-03-02 07:45:00,2024-03-02 08:14:00,2024-03-04 22:24:00,3.8,False
T100017,C018,A02,ORDER,2024-01-16 05:08:00,2024-01-16 05:14:00,2024-01-17 17:18:00,4.0,False
T100018,C019,A03,ORDER,2024-04-10 14:11:00,2024-04-10 15:16:00,2024-04-11 03:16:00,3.8,False
T100019,C020,A04,ORDER,2024-02-24 03:33:00,2024-02-24 04:22:00,2024-02-26 21:55:00,3.6,False
T100020,C021,A05,ORDER,2024-03-01 14:55:00,2024-03-01 15:11:00,2024-03-02 11:19:00,3.7,False
